bus;frequency;operator;osm_name;ref;carrier;v_nom;voltage;wkt_srid_4326;x;y;;;;
148;50;RWE;Stadtwerke_Duesseldorf;Station_Eller;substation;220.0;220000;110000;SRID=4326;POINT(6.84699931064759_51.2055917698058);684.699.931.065;512.055.917.698;;
149;;RWE;Station_Siegburg;;substation;220.0;220000;110000;SRID=4326;POINT(7.19316578267403_50.798335064694);719.316.578.267;507.983.350.647;;
150;50;RWE;Station_Gremberghoven;;substation;220.0;220000;110000;SRID=4326;POINT(7.0473845241055_50.9055286094924);704.738.452.411;509.055.286.095;;
151;;Amprion;Station_Gohrpunkt;;substation;220.0;220000;110000;SRID=4326;POINT(6.70967369516713_51.0909407427733);670.967.369.517;510.909.407.428;;
152;50;RWE;Station_Meckenheim;;substation;220.0;220000;110000;SRID=4326;POINT(7.01293742640329_50.6176584938251);70.129.374.264;506.176.584.938;;
153;50;RWE;Station_Duelken;;substation;220.0;380000;220000;SRID=4326;POINT(6.33006858948983_51.2429161503794);633.006.858.949;512.429.161.504;;
154;50;;Station_Duennwald;;substation;220.0;220000;;SRID=4326;POINT(7.0235444991641_50.999068409611);702.354.449.916;509.990.684.096;;
155;50;Amprion;Umspannwerk_Bixterheide;;substation;220.0;220000;110000;SRID=4326;POINT(7.72438401522458_51.4093341305984);772.438.401.522;514.093.341.306;;
156;;;Kraftwerkschaltanlage_Knapsack_1;;substation;380.0;380000;220000;SRID=4326;POINT(6.84223115147656_50.8598647243573);684.223.115.148;508.598.647.244;;
157;50;Amprion;Station_Guetersloh;;substation;380.0;380000;220000;SRID=4326;POINT(8.364229530696_51.9271204904611);83.642.295.307;519.271.204.905;;
158;50;RWE;Station_Hambach;;substation;380.0;380000;;SRID=4326;POINT(6.48812326381716_50.8810703125704);648.812.326.382;508.810.703.126;;
159;50;TenneT;Conneforde;CONN;substation;380.0;380000;220000;SRID=4326;POINT(8.05408735442182_53.3323026933898);805.408.735.442;533.323.026.934;;
160;50;EON_Netz;Kernkraftwerk_Unterweser;;substation;380.0;380000;220000;SRID=4326;POINT(8.47791063608626_53.428485468955);847.791.063.609;53.428.485.469;;
161;50;TenneT;EON_NetzConneforde_110/220_kVCONN;;substation;220.0;220000;110000;SRID=4326;POINT(8.05283751634017_53.3338809598955);805.283.751.634;533.338.809.599;;
162;50;;Bocklemuend;;substation;220.0;220000;110000;SRID=4326;POINT(6.85153113794826_50.9841704680083);685.153.113.795;50.984.170.468;;
163;50;Amprion;Station_Paffendorf;;substation;380.0;380000;110000;SRID=4326;POINT(6.59601979462215_50.9525274624278);659.601.979.462;509.525.274.624;;
164;50;16.7;E.ONSchaltanlage_Datteln_4;;substation;380.0;380000;110000;SRID=4326;POINT(7.33861258614081_51.6319781250427);733.861.258.614;51.631.978.125;;
165;50;Amprion;Station_Gersteinwerk;;substation;380.0;380000;220000;SRID=4326;POINT(7.70831848872651_51.6762033088437);770.831.848.873;516.762.033.088;;
166;;RWE;_evonikKraftwerk_Bergkamen;;generator;380.0;;;SRID=4326;POINT(7.61702099509812_51.6371337640588);76.170.209.951;516.371.337.641;;
167;50;Ampirion;Station_Wambel;;substation;220.0;220000;110000;SRID=4326;POINT(7.52228010104186_51.5321980552231);752.228.010.104;515.321.980.552;;
168;50;RWE;_ELEStation_Nordlicht;;substation;380.0;380000;110000;SRID=4326;POINT(6.90660779028721_51.5652424465435);690.660.779.029;515.652.424.465;;
169;50;;LMG;;substation;220.0;220000;;SRID=4326;POINT(6.96734393053748_51.4908618864265);696.734.393.054;514.908.618.864;;
170;50;;Styrum;;substation;220.0;220000;110000;SRID=4326;POINT(6.87287359352087_51.4457833372124);687.287.359.352;514.457.833.372;;
171;;RWE;Station_Selbeck;;substation;220.0;220000;110000;SRID=4326;POINT(6.86804496307922_51.3744747805902);686.804.496.308;513.744.747.806;;
172;50;Amprion;Station_Hamborn;;substation;220.0;220000;110000;SRID=4326;POINT(6.78752251671348_51.505550100013);678.752.251.671;515.055.501;;
173;50;RWE;Station_Osterath;;substation;380.0;380000;;SRID=4326;POINT(6.62284323546559_51.258713368098);662.284.323.547;512.587.133.681;;
174;50;Amprion;Station_Handbach;;substation;220.0;220000;110000;SRID=4326;POINT(6.81216588075166_51.5196200118095);681.216.588.075;515.196.200.118;;
175;;Amprion;Station_Rheinhausen;;substation;220.0;220000;;SRID=4326;POINT(6.72031000055597_51.3915325380171);672.031.000.056;51.391.532.538;;
176;50;;Station_Edelstahl_Krefeld;;substation;220.0;220000;110000;SRID=4326;POINT(6.54240844257145_51.2994458149911);654.240.844.257;51.299.445.815;;
177;;50Hertz_Transmission_GmbH;E.ON_edis_AG;;substation;220.0;220000;110000;SRID=4326;POINT(13.0786421047586_54.2848461697305);130.786.421.048;542.848.461.697;;
178;50;RWE;Setzer_Wiese;;substation;220.0;220000;SRID=4326;POINT(8.02029033797883_50.9236168949394);802.029.033.798;509.236.168.949;;;
179;;50Hertz_Transmission_GmbH;Bertikow;;substation;220.0;380000;220000;SRID=4326;POINT(13.9570055475871_53.252171625753);139.570.055.476;532.521.716.258;;
180;50;50Hertz_Transmission_GmbH;Vierraden;;substation;220.0;220000;110000;SRID=4326;POINT(14.270834670665_53.0962865535819);142.708.346.707;530.962.865.536;;
181;;50Hertz_Transmission_GmbH;E.ON_edis_AG;;substation;220.0;220000;110000;SRID=4326;POINT(14.0336963684666_53.5078685980791);140.336.963.685;535.078.685.981;;
182;;PSE_Operator;"Stacja_elektroenergetyczna_""Krajnik""_400/220_kV";;substation;220.0;400000;220000;SRID=4326;POINT(14.4762521006827_53.1967495480613);144.762.521.007;531.967.495.481;;
183;50;50Hertz_Transmission;Stromnetz_Hamburg_GmbHUmspannwerk_Hamburg/Sued;;substation;380.0;380000;110000;SRID=4326;POINT(9.90884752815356_53.4880466403676);990.884.752.815;534.880.466.404;;
184;50;Amprion;Station_Utfort;;substation;380.0;380000;220000;110000;SRID=4326;POINT(6.61738109142906_51.4757909635544);661.738.109.143;514.757.909.636;
185;50;;Uerdingen;;substation;220.0;220000;110000;SRID=4326;POINT(6.65673519501182_51.379523634379);665.673.519.501;513.795.236.344;;
186;50;Amprion;Walsum_Block_10;;substation;380.0;380000;SRID=4326;POINT(6.7111452744645_51.5261875490663);671.114.527.446;515.261.875.491;;;
187;;Amprion;Station_Zensenbusch;;substation;380.0;380000;SRID=4326;POINT(6.68934277038931_51.5764228881728);668.934.277.039;515.764.228.882;;;
188;;;Kraftwerk_Huckingen;;generator;220.0;;SRID=4326;POINT(6.72365237186396_51.375845810902);672.365.237.186;513.758.458.109;;;
189;50;;Umspannwerk_Trossingen;TRSNG;substation;380.0;380000;110000;SRID=4326;POINT(8.61664767275337_48.0659537906797);861.664.767.275;480.659.537.907;;
190;50;EnBW;EnBW_Umspannwerk_Engstlatt;ENGST;substation;380.0;380000;SRID=4326;POINT(8.87294280487974_48.3100912582216);887.294.280.488;483.100.912.582;;;
191;50;Amprion;Station_Walsum;;substation;380.0;220000;110000;SRID=4326;POINT(6.71525259691926_51.5267908666491);671.525.259.692;515.267.908.666;;
192;;EON_edis;Guestrow;;substation;220.0;220000;110000;SRID=4326;POINT(12.1857651811846_53.8108597989599);121.857.651.812;53.810.859.799;;
193;50;;Station_Beeck;;substation;220.0;380000;220000;110000;SRID=4326;POINT(6.72256980950278_51.4797876727124);67.225.698.095;514.797.876.727;
194;;evonik;Kraftwerk_Voerde;;generator;380.0;;SRID=4326;POINT(6.68306568260248_51.577104777735);66.830.656.826;515.771.047.777;;;
195;;;Station_Moellen;;substation;380.0;220000;SRID=4326;POINT(6.68310697663871_51.5756455059265);668.310.697.664;515.756.455.059;;;
196;;;;;substation;220.0;220000;SRID=4326;POINT(6.74541676675317_51.4986419480434);674.541.676.675;51.498.641.948;;;
197;50;;Spellen;;substation;220.0;220000;110000;SRID=4326;POINT(6.61427855504049_51.6186788033284);661.427.855.504;516.186.788.033;;
198;50;;;;substation;380.0;380000;SRID=4326;POINT(7.9706568937083_51.6768446667846);797.065.689.371;516.768.446.668;;;
199;;Amprion;Station_Elmenhorst;;substation;220.0;220000;110000;SRID=4326;POINT(7.44506930371379_51.6185000869374);744.506.930.371;516.185.000.869;;
200;50;Amprion;Station_Ruhrort;;substation;220.0;220000;110000;SRID=4326;POINT(6.73212495035583_51.4594437365975);673.212.495.036;514.594.437.366;;
201;50;EON_Netz;Sottrum;;substation;380.0;380000;220000;110000;SRID=4326;POINT(9.25103425143703_53.1144323051271);925.103.425.144;531.144.323.051;
202;;KKW_Lippe-Ems;Kernkraftwerk_Emsland;KKE;plant;380.0;;SRID=4326;POINT(7.32089257541703_52.4714572265383);732.089.257.542;524.714.572.265;;;
203;;TenneT;380kV_Hengelo;;substation;380.0;380000;SRID=4326;POINT(6.75917485282445_52.2488578798871);675.917.485.282;522.488.578.799;;;
204;;markE;Elverlingsen;;substation;220.0;220000;110000;SRID=4326;POINT(7.70632726933662_51.278583155205);770.632.726.934;512.785.831.552;;
205;;RWE_Power_AG;Koepchenwerk;;plant;220.0;;SRID=4326;POINT(7.45034204531003_51.413608212821);745.034.204.531;514.136.082.128;;;
206;;;RWE_Kraftwerk_Neurath_BoA_Bl._F/G;;plant;380.0;;SRID=4326;POINT(6.63448162267058_51.0359799381303);663.448.162.267;510.359.799.381;;;
207;50;Amprion;Amelsbueren;;substation;220.0;220000;SRID=4326;POINT(7.60711612154456_51.8986046029193);760.711.612.154;518.986.046.029;;;
208;50;RWE;Station_Lippe;;substation;380.0;380000;SRID=4326;POINT(7.4035444340631_51.644449487967);740.354.443.406;51.644.449.488;;;
209;50;TenneT_TSO_GmbH;Schaltanlage_Ovenstaedt;3018;substation;380.0;380000;SRID=4326;POINT(8.93969252741257_52.4030332405173);893.969.252.741;524.030.332.405;;;
210;;Gemeinschaftskernkraftwerk_Grohnde_GmbH_&_Co._oHG;Kernkraftwerk_Grohnde;KWG;plant;380.0;;SRID=4326;POINT(9.40952032742215_52.034316665873);940.952.032.742;520.343.166.659;;;
211;50;Amprion;Mittelbexbach;;substation;380.0;380000;SRID=4326;POINT(7.23579344536789_49.3693923629482);723.579.344.537;493.693.923.629;;;
212;50;Amprion;_Westnetz;Station_Osburg;substation;380.0;380000;110000;SRID=4326;POINT(6.81368431456473_49.7248340737293);681.368.431.456;497.248.340.737;;
213;50;RWE;Umspannanlage_Pfungstadt;;substation;220.0;220000;110000;SRID=4326;POINT(8.58869049603326_49.8155140579794);858.869.049.603;49.815.514.058;;
214;50;Net;Station_Rheinau;;substation;220.0;220000;110000;SRID=4326;POINT(8.5471609252134_49.4405396661002);854.716.092.521;494.405.396.661;;
215;50;;BASF;;substation;220.0;220000;SRID=4326;POINT(8.40826973550855_49.5285689245626);840.826.973.551;495.285.689.246;;;
216;50;Amprion;Umspannstation_Hoheneck_Amprion;;substation;380.0;380000;220000;110000;SRID=4326;POINT(9.1907874369222_48.914416873799);919.078.743.692;489.144.168.738;
217;50;;Kraftwerk_Rostock;;generator;380.0;;SRID=4326;POINT(12.1320699705054_54.14245987564);121.320.699.705;541.424.598.756;;;
218;;E.ON_edis_AG;Bentwisch;;substation;220.0;220000;110000;SRID=4326;POINT(12.2135605440795_54.1119998545154);122.135.605.441;541.119.998.545;;
219;50;TenneT;Eickum;;substation;380.0;380000;110000;SRID=4326;POINT(8.5712588278729_52.1053649602273);857.125.882.787;521.053.649.602;;
220;50;TenneT;Umspannwerk_Bechterdissen;;substation;380.0;380000;220000;110000;SRID=4326;POINT(8.65937290290079_51.9996101318907);86.593.729.029;519.996.101.319;
221;50;0;TenneTEON_Netz;Diele;substation;380.0;380000;150000;110000;SRID=4326;POINT(7.31136229105814_53.1257665563186);731.136.229.106;531.257.665.563;
222;;TenneT;380kV_Meeden;;substation;380.0;380000;220000;SRID=4326;POINT(6.94948397153705_53.1235378223082);694.948.397.154;531.235.378.223;;
223;50;Pfalzwerke_AG;Umspannwerk_Maximiliansau;;substation;220.0;220000;110000;SRID=4326;POINT(8.27327814618118_49.0293980916396);827.327.814.618;490.293.980.916;;
224;50;Pfalzwerke;Netzleitstelle_Mutterstadt;;substation;220.0;220000;110000;SRID=4326;POINT(8.3523338799966_49.4212743386606);835.233.388;494.212.743.387;;
225;50;Amprion;Otterbach;;substation;220.0;220000;110000;SRID=4326;POINT(7.72920197913641_49.4826474297682);772.920.197.914;494.826.474.298;;
226;50;TenneT;EON_Netz;Godenau;substation;220.0;220000;110000;SRID=4326;POINT(9.79733602695253_52.0008392513306);979.733.602.695;520.008.392.513;;
227;50;Ampirion;Voehringen_Amprion;;substation;380.0;380000;SRID=4326;POINT(10.0821573264928_48.2660901578788);100.821.573.265;482.660.901.579;;;
228;50;;Umspannwerk_Weinheim;;substation;220.0;220000;110000;SRID=4326;POINT(8.62716125806072_49.5435952670263);862.716.125.806;49.543.595.267;;
229;;;Mannheim;;substation;220.0;220000;110000;SRID=4326;POINT(8.50180851652818_49.4449115114399);850.180.851.653;494.449.115.114;;
230;;Amprion;Umspannwerk_Gundelfingen;;substation;380.0;380000;SRID=4326;POINT(10.391776056934_48.5184609117668);103.917.760.569;485.184.609.118;;;
231;50;Schluchseewerk_AG;Lastverteilung/Schaltanlage_Kuehmoos;;substation;380.0;380000;220000;SRID=4326;POINT(7.95805402328778_47.5954722640613);795.805.402.329;475.954.722.641;;
232;50;LEW;Voehringen_LEW;Station_Nr._625;substation;380.0;380000;220000;110000;SRID=4326;POINT(10.0837512706734_48.268867515302);100.837.512.707;482.688.675.153;
233;50;EnBW;Umspannwerk_Dellmensingen;;substation;380.0;380000;220000;110000;SRID=4326;POINT(9.88551509756969_48.3040743584705);988.551.509.757;483.040.743.585;
234;50;;Umspannwerk_Stockach;;substation;220.0;220000;110000;SRID=4326;POINT(9.01340238045655_47.8453486310857);901.340.238.046;478.453.486.311;;
235;50;EnBW;Umspannwerk_Gurtweil;;substation;220.0;220000;110000;SRID=4326;POINT(8.25192548128222_47.6397698264894);825.192.548.128;476.397.698.265;;
236;50;EnBW;Umspannwerk_Hoheneck_EnBW;;substation;380.0;220000;110000;SRID=4326;POINT(9.19675652645089_48.9129634380259);919.675.652.645;48.912.963.438;;
237;;;Heisdorf;;substation;220.0;220000;65000;SRID=4326;POINT(6.13981113770544_49.6686086456422);613.981.113.771;496.686.086.456;;
238;50;Amprion;Station_Trier;;substation;220.0;220000;SRID=4326;POINT(6.62053556843084_49.7489386710632);662.053.556.843;497.489.386.711;;;
239;50;Amprion;_Westnetz;Station_Quint;substation;220.0;220000;110000;SRID=4326;POINT(6.70228540768092_49.8289944201161);670.228.540.768;498.289.944.201;;
240;50;Suewag;Station_Kelsterbach;;substation;220.0;220000;SRID=4326;POINT(8.53151493939883_50.047874332134);85.315.149.394;500.478.743.321;;;
241;50;Amprion;Umspannwerk_Kriftel;;substation;380.0;380000;110000;SRID=4326;POINT(8.4713716330449_50.0972077427754);847.137.163.304;500.972.077.428;;
242;;"Amprion;_Suewag";Station_Limburg;;substation;380.0;380000;110000;SRID=4326;POINT(8.06573796639762_50.4060681118621);80.657.379.664;504.060.681.119;;
245;50;Amprion;Karlstein;;substation;380.0;380000;110000;SRID=4326;POINT(8.98953614977701_50.0602550608281);898.953.614.978;500.602.550.608;;
246;50;TenneT;Umspannwerk_Grosskrotzenburg;;substation;380.0;380000;220000;SRID=4326;POINT(8.95870856177306_50.0826078105489);895.870.856.177;500.826.078.105;;
247;50;Amprion;Schaltanlage_Leupolz;;substation;380.0;380000;220000;SRID=4326;POINT(10.363384232266_47.7383368092793);103.633.842.323;477.383.368.093;;
248;;Trianel;Trianel_Kraftwerk_Luenen;;generator;380.0;;SRID=4326;POINT(7.46150025901999_51.6146143079042);746.150.025.902;516.146.143.079;;;
249;;;Gersteinwerk_Block_K;;generator;380.0;;SRID=4326;POINT(7.71823231962748_51.6743422007117);771.823.231.963;516.743.422.007;;;
250;;;Gersteinwerk_Block_F;;generator;380.0;;SRID=4326;POINT(7.71554341949648_51.6736430744508);77.155.434.195;516.736.430.745;;;
251;;;Gersteinwerk_Block_G;;generator;380.0;;SRID=4326;POINT(7.71459453349968_51.6730996381138);77.145.945.335;516.730.996.381;;;
252;;;Gersteinwerk_Block_I;;generator;380.0;;SRID=4326;POINT(7.71270093431027_51.672663662233);771.270.093.431;516.726.636.622;;;
253;50;Amprion;Station_Lippborg;;substation;380.0;380000;110000;SRID=4326;POINT(7.98122159643085_51.6735262619046);798.122.159.643;516.735.262.619;;
254;50;;Niederhausen;;substation;220.0;220000;110000;SRID=4326;POINT(7.79256714933307_49.8105487811028);779.256.714.933;498.105.487.811;;
255;;Amprion;_Westnetz;Station_Wengerohr;substation;220.0;220000;110000;SRID=4326;POINT(6.92013045452502_49.9705818904706);692.013.045.453;499.705.818.905;;
256;50;VSE;Dieffeln;;substation;220.0;220000;SRID=4326;POINT(6.75552340556687_49.3648695914696);675.552.340.557;493.648.695.915;;;
257;;RWE;Kernkraftwerk_Biblis;;plant;380.0;;SRID=4326;POINT(8.41467459584413_49.7091468139245);841.467.459.584;497.091.468.139;;;
258;50;TenneT;AVACON;Umspannwerk_Rosdorf;substation;220.0;220000;110000;SRID=4326;POINT(9.88280429847019_51.5155074976724);988.280.429.847;515.155.074.977;;
259;50;TenneT;EON_Netz;Hardegsen;substation;220.0;220000;110000;SRID=4326;POINT(9.85139357253472_51.6491352399809);985.139.357.253;5.164.913.524;;
260;50;EnBW;EnBW_Umspannwerk_Oberjettingen;OBJTT;substation;380.0;380000;110000;SRID=4326;POINT(8.78579302528601_48.5837674015328);878.579.302.529;485.837.674.015;;
261;50;EnBW_Transportnetze_AG;380kV-Umspannwerk_Pulverdingen;;substation;380.0;380000;220000;110000;SRID=4326;POINT(9.0454349679866_48.9029620137561);904.543.496.799;489.029.620.138;
262;50;;Umspannwerk_Obermooweiler;;substation;380.0;380000;SRID=4326;POINT(9.8013171668981_47.6525043240978);98.013.171.669;476.525.043.241;;;
263;;Vorarlberger_Illwerke_AG;Umspannwerk_Buers;;substation;380.0;380000;220000;SRID=4326;POINT(9.81091689214732_47.142645296653);981.091.689.215;471.426.452.967;;
264;;EnBW;Umspannwerk_Herbertingen;;substation;380.0;380000;220000;110000;SRID=4326;POINT(9.42551238607291_48.0643507981263);942.551.238.607;480.643.507.981;
265;50;Amprion;Station_Luestringen;;substation;220.0;220000;110000;SRID=4326;POINT(8.10495957410199_52.2642613740358);81.049.595.741;52.264.261.374;;
266;;"Tennet_TSO_GmbH;_E.ON_Netz_GmbH";Umspannwerk_Marienberg;;substation;220.0;220000;SRID=4326;POINT(12.1301906295374_47.9131654820025);121.301.906.295;47.913.165.482;;;
267;50;RWE;Station_Sankt_Peter_220_kV;;substation;380.0;220000;110000;SRID=4326;POINT(6.8018236570969_51.1247880606241);68.018.236.571;511.247.880.606;;
268;50;Amprion;Station_Eiserfeld;;substation;220.0;220000;110000;SRID=4326;POINT(7.98506745761923_50.8422254447013);798.506.745.762;508.422.254.447;;
269;50;e.on;Mitte_AG;Dillenburg;substation;380.0;380000;110000;SRID=4326;POINT(8.284861778672_50.7590735194915);828.486.177.867;507.590.735.195;;
270;50;TenneT;EON_Netz;Emden-Borssum;substation;220.0;220000;110000;SRID=4326;POINT(7.22423842685352_53.3499271468647);722.423.842.685;533.499.271.469;;
271;;;Umspannwerk_Kraftwerk_Emden;EMDE;substation;220.0;220000;110000;SRID=4326;POINT(7.20605284001418_53.3413192541639);720.605.284.001;533.413.192.542;;
272;50;TenneT;Flensburg;FLEN;substation;380.0;380000;220000;110000;20000;SRID=4326;POINT(9.31819523638713_54.7160494089748);931.819.523.639;54.716.049.409
273;;Energinet.dk;400_kV_Kassa;KAS;substation;220.0;400000;220000;150000;SRID=4326;POINT(9.27063390877085_55.0370264816237);927.063.390.877;550.370.264.816;
274;;;150_kV_Enstedv;;substation;220.0;220000;150000;60000;SRID=4326;POINT(9.43342930362242_55.0187229179606);943.342.930.362;55.018.722.918;
275;;;;;substation;220.0;220000;SRID=4326;POINT(7.43348911422107_50.4365195361077);743.348.911.422;504.365.195.361;;;
276;;RWE;Station_Koblenz;;substation;380.0;380000;110000;SRID=4326;POINT(7.59330184856855_50.3859437917469);759.330.184.857;503.859.437.917;;
277;50;;Atlantic;;substation;220.0;220000;SRID=4326;POINT(8.12215702005755_53.5658323292485);812.215.702.006;535.658.323.292;;;
278;50;50Hertz_Transmission;Magdeburg_(50Hertz);;substation;220.0;220000;110000;SRID=4326;POINT(11.5615074728142_52.1238924527264);115.615.074.728;521.238.924.527;;
279;50;50Hertz;Umspannwerk_Roehrsdorf;ROE;substation;380.0;380000;220000;110000;SRID=4326;POINT(12.8139099116529_50.8579185114397);128.139.099.117;508.579.185.114;
280;50;50Hertz;Umspannwerk_Streumen;STR;substation;380.0;380000;110000;SRID=4326;POINT(13.3823233828996_51.3559961579888);133.823.233.829;51.355.996.158;;
281;;50Hertz;Umspannwerk_Weida;;substation;380.0;380000;220000;110000;SRID=4326;POINT(12.0449825161601_50.7812567340735);120.449.825.162;507.812.567.341;
282;50;50Hertz_Transmission;Eula;;substation;380.0;380000;220000;110000;SRID=4326;POINT(12.5182220968156_51.1570725850832);125.182.220.968;511.570.725.851;
283;;E.ON_Mitte_AG;Umspannwerk_Asslar;;substation;380.0;380000;110000;SRID=4326;POINT(8.48009523461158_50.5909204313802);848.009.523.461;505.909.204.314;;
284;50;;Umspannwerk_Giessen_Nord;;substation;380.0;380000;110000;SRID=4326;POINT(8.65659923594081_50.6055491256016);865.659.923.594;506.055.491.256;;
285;50;TenneT;Cloppenburg_220_kV;;substation;220.0;220000;SRID=4326;POINT(8.08162670615254_52.858637484526);808.162.670.615;528.586.374.845;;;
286;50;TenneT;Sandershausen;;substation;220.0;220000;110000;SRID=4326;POINT(9.56710201161841_51.3252573276817);956.710.201.162;513.252.573.277;;
287;;;Kraftwerkschaltanlage_Ibbenbueren;;substation;220.0;220000;SRID=4326;POINT(7.74679248425685_52.2885115081219);774.679.248.426;522.885.115.081;;;
288;50;EnBW;Umspannwerk_Weier;;substation;220.0;220000;110000;SRID=4326;POINT(7.91072928612534_48.5012882982432);791.072.928.613;485.012.882.982;;
289;50;Amprion;Station_Ibbenbueren;;substation;220.0;220000;110000;SRID=4326;POINT(7.7257063478071_52.2771949017405);772.570.634.781;522.771.949.017;;
290;;50Hertz;ENSO;Umspannwerk_Schmoelln;substation;380.0;380000;110000;SRID=4326;POINT(14.2192282929357_51.120707992198);142.192.282.929;511.207.079.922;;
291;;Vattenfall_Europe;Kraftwerk_Boxberg;;generator;380.0;;SRID=4326;POINT(14.5700865498873_51.4190136844256);145.700.865.499;514.190.136.844;;;
292;50;50Hertz;Umspannwerk_Foerderstedt;MD_38;substation;380.0;220000;110000;SRID=4326;POINT(11.6441811001256_51.908512873438);116.441.811.001;519.085.128.734;;
293;50;;Pumpspeicherkraftwerk_Hohenwarte_II;;plant;220.0;220000;SRID=4326;POINT(11.4746908222742_50.6040154814218);114.746.908.223;506.040.154.814;;;
294;50;50Hertz;Umspannwerk_Altenfeld;;substation;380.0;380000;110000;SRID=4326;POINT(10.9910146333086_50.573526990181);109.910.146.333;505.735.269.902;;
295;;EON_Netz;Umspannwerk_Braunschweig_Nord;;substation;220.0;220000;SRID=4326;POINT(10.5054991208047_52.3018379056382);105.054.991.208;523.018.379.056;;;
296;;Statkraft_Germany;Kraftwerk_Robert_Frank;;plant;380.0;;SRID=4326;POINT(9.11362795987411_52.5457924749284);911.362.795.987;525.457.924.749;;;
297;50;TenneT;EON_Netz;Salzgitter-Hallendorf;substation;220.0;220000;110000;SRID=4326;POINT(10.3692300485918_52.1670924338554);103.692.300.486;521.670.924.339;;
298;;TenneT;Gleidingen_220_kV;;substation;220.0;220000;SRID=4326;POINT(10.4195406346214_52.2369606619834);104.195.406.346;52.236.960.662;;;
299;;;Mehrum_(220_kV);;substation;220.0;220000;110000;SRID=4326;POINT(10.0876467999739_52.3151305547947);100.876.468;523.151.305.548;;
